432,252,717,578,interdiction,0.9900100065374288
180,288,465,614,interdiction,0.9702091496537073
352,672,479,817,ceder,0.9701784233313796
528,608,655,753,stop,0.9572614104919153
448,176,575,321,interdiction,0.9373771457990852
72,576,357,902,interdiction,0.9076387067723601
432,560,559,705,interdiction,0.8446082100782548
112,144,239,289,danger,0.8416920216293514
288,560,415,705,interdiction,0.8128339295138987
288,16,415,161,danger,0.779927278435053
560,96,687,241,interdiction,0.7359322620306802
80,32,207,177,danger,0.7311290893412772
