208,784,335,929,interdiction,0.9999947031522696
81,243,723,977,interdiction,0.9963308670661032
496,320,623,465,interdiction,0.9954826289541387
544,432,671,577,ceder,0.9872705579787422
320,848,447,993,interdiction,0.9702025574717605
320,304,447,449,interdiction,0.9526374237384824
180,0,465,326,danger,0.9523765612837205
504,0,694,217,danger,0.9380646357709249
608,320,735,465,ceder,0.9147671795627067
224,368,351,513,interdiction,0.886006268667179
608,720,735,865,danger,0.8752924164012885
176,672,303,817,danger,0.8586314167760208
312,672,502,889,interdiction,0.8405535762882343
408,480,598,697,obligation,0.8019580521745798
160,256,287,401,interdiction,0.7984850712338177
592,592,719,737,interdiction,0.7967616776862143
48,432,238,649,ceder,0.7895599824068749
480,768,607,913,interdiction,0.7765176466993554
