264,384,454,601,obligation,0.9966019939832755
540,108,968,597,interdiction,0.9961058403285786
736,176,863,321,interdiction,0.9883347162178537
608,544,735,689,interdiction,0.9651535599576128
624,400,751,545,interdiction,0.9621903859850081
832,256,959,401,interdiction,0.9553644406121511
272,752,399,897,interdiction,0.9011891237263031
592,272,719,417,interdiction,0.8744069865630306
768,464,895,609,interdiction,0.8638390357075144
544,128,671,273,interdiction,0.8508571296179732
80,432,207,577,danger,0.8048578139414175
752,336,879,481,interdiction,0.7776841162470814
672,80,799,225,danger,0.7455609730627191
512,368,639,513,danger,0.7106393999652519
