0004, 515,801,541,851,0.9952337438579902,feux
0004, 337,552,503,867,0.9894110951509656,feux
0004, 407,326,424,364,0.9761382228356837,feux
0004, 354,334,364,382,0.9752702712687679,feux
0004, 425,602,458,648,0.9648697466863115,feux
0004, 406,791,450,815,0.7745253440252448,obligation
0004, 270,991,309,1000,0.7389454794497546,danger
0039, 155,326,394,566,0.9999999972515112,ceder
0039, 425,554,442,619,0.9999989042615994,feux
0039, 194,755,233,779,0.9999988602516906,feux
0039, 330,545,351,593,0.9937075776361155,feux
0039, 640,770,715,790,0.9933633032725986,feux
0039, 0,621,327,1000,0.9912733877457484,feux
0039, 496,500,641,650,0.9870504749448945,feux
0039, 246,536,284,568,0.9856224914127107,interdiction
0039, 281,621,294,642,0.9785043961881216,obligation
0039, 638,601,659,703,0.9738275396565923,feux
0039, 693,534,715,572,0.9721666109721353,feux
0039, 3,423,34,469,0.9613660899693652,feux
0039, 255,485,277,508,0.9554668828090723,ceder
0039, 158,751,191,770,0.9554464109950297,feux
0039, 441,558,510,675,0.9542978068908017,feux
0039, 368,572,405,605,0.7328675389698446,stop
0039, 248,592,274,614,0.7253960393445719,ceder
