560,240,687,385,interdiction,0.987103109174597
81,81,723,815,interdiction,0.9720263857052227
48,400,175,545,interdiction,0.9188063608266045
0,216,190,433,ceder,0.9007038089473162
224,208,351,353,interdiction,0.8884612369049344
256,80,383,225,danger,0.8705723399356623
384,640,511,785,stop,0.8431569589014215
544,560,671,705,stop,0.8341698452132199
400,160,527,305,interdiction,0.8075887061519926
416,32,543,177,obligation,0.7957948442634056
160,304,287,449,danger,0.758349542503317
256,640,383,785,stop,0.7345763810560955
